
text,category
Ошибка подключения к интернету на всех компьютерах,Сетевые технологии
Не работает LAN порт на системном блоке,Сетевые технологии
Слабый сигнал Wi‑Fi в переговорной комнате,Сетевые технологии
После грозы пропало сетевое соединение,Сетевые технологии
Не удается подключиться к VPN серверу компании,Сетевые технологии
Пропадает соединение с интернетом несколько раз в день,Сетевые технологии
Не работает сетевой коммутатор в офисе,Сетевые технологии
Не открываются внутренние сайты компании,Сетевые технологии
Проблемы с подключением к локальному серверу,Сетевые технологии
Интернет работает очень медленно после обеда,Сетевые технологии
Не удается подключить новый компьютер к сети,Сетевые технологии
После обновления роутера перестал работать Wi‑Fi,Сетевые технологии
Нет доступа к интернету в бухгалтерии,Сетевые технологии
Постоянно разрывается VPN соединение,Сетевые технологии
Не открываются сайты на рабочих компьютерах,Сетевые технологии
Wi‑Fi сеть не отображается в списке подключений,Сетевые технологии
Пропал интернет после отключения света,Сетевые технологии
Сотрудники не могут подключиться к корпоративной сети,Сетевые технологии
Не удается подключиться к удаленному серверу,Сетевые технологии
Сеть постоянно падает в офисе,Сетевые технологии
Компьютер не видит локальную сеть,Сетевые технологии
Не работает интернет на одном рабочем месте,Сетевые технологии
Плохое качество сигнала Wi‑Fi,Сетевые технологии
После переезда офиса пропала сеть,Сетевые технологии
Ошибка подключения к сетевому оборудованию,Сетевые технологии
Не удается получить доступ к NAS серверу,Сетевые технологии
Пропал доступ к внутреннему порталу компании,Сетевые технологии
Интернет работает с перебоями на всех устройствах,Сетевые технологии
Не удается настроить VPN подключение,Сетевые технологии
Система сообщает об ошибке DNS,Сетевые технологии
Маршрутизатор постоянно перезагружается,Сетевые технологии
Не работает корпоративный Wi‑Fi для сотрудников,Сетевые технологии
После подключения нового коммутатора пропала сеть,Сетевые технологии
Не удается открыть сетевую папку отдела кадров,Сетевые технологии
Периодически пропадает доступ к интернету,Сетевые технологии
Не открывается корпоративный сайт компании,Сетевые технологии
Скорость интернета слишком низкая для видеозвонков,Сетевые технологии
Не удается подключить IP телефон к сети,Сетевые технологии
Пропал доступ к серверу после обновления сети,Сетевые технологии
Не работает сетевое подключение на ноутбуке,Сетевые технологии
Wi‑Fi работает только возле роутера,Сетевые технологии
Не удается войти в корпоративную систему,Системное администрирование
Сотрудник забыл пароль от учетной записи,Системное администрирование
Ошибка авторизации при входе в систему,Системное администрирование
Не работает удаленный рабочий стол сотрудника,Системное администрирование
Не запускается сервер Windows,Системное администрирование
Ошибка резервного копирования данных,Системное администрирование
Не работает Active Directory компании,Системное администрирование
Система не принимает логин и пароль пользователя,Системное администрирование
Проблемы с доступом к сетевым папкам,Системное администрирование
Не удается подключиться к серверу базы данных,Системное администрирование
Сервер очень медленно отвечает на запросы,Системное администрирование
Ошибка синхронизации домена Active Directory,Системное администрирование
Не открывается корпоративная почта Outlook,Системное администрирование
Нужно создать нового пользователя в системе,Системное администрирование
Пользователь случайно заблокировал учетную запись,Системное администрирование
Ошибка DNS сервера компании,Системное администрирование
Не работает служба удаленного доступа,Системное администрирование
Не удается восстановить пароль пользователя,Системное администрирование
После смены пароля система не пускает в аккаунт,Системное администрирование
Не работает подключение к корпоративному серверу,Системное администрирование
Пользователь не может авторизоваться в CRM системе,Системное администрирование
Сервер перестал отвечать на запросы,Системное администрирование
Не удается подключиться к удаленному рабочему столу,Системное администрирование
Ошибка подключения к серверу базы данных,Системное администрирование
Не запускается служба домена,Системное администрирование
Не работает синхронизация времени на сервере,Системное администрирование
После обновления сервер начал зависать,Системное администрирование
Не удается добавить пользователя в домен,Системное администрирование
Пропал доступ к учетной записи сотрудника,Системное администрирование
Система сообщает о блокировке пользователя,Системное администрирование
Ошибка доступа к серверной папке,Системное администрирование
Не работает служба DHCP на сервере,Системное администрирование
Не удается подключиться к Exchange серверу,Системное администрирование
Пользователь не видит сетевые ресурсы,Системное администрирование
Сервер резервного копирования выдает ошибку,Системное администрирование
Не запускается служба Active Directory,Системное администрирование
Ошибка подключения к SQL серверу,Системное администрирование
После обновления не работает доменная авторизация,Системное администрирование
Не удается войти под учетной записью администратора,Системное администрирование
Система блокирует пользователя после входа,Системное администрирование
Проблемы с политиками безопасности домена,Системное администрирование
Не работает Outlook на терминальном сервере,Системное администрирование
Сервер слишком долго обрабатывает запросы,Системное администрирование
Не удается подключиться к файловому серверу,Системное администрирование
Ошибка синхронизации учетных записей,Системное администрирование
Пропал доступ к корпоративной почте,Системное администрирование
Не удается создать нового пользователя в системе,Системное администрирование
Ошибка запуска службы Windows Server,Системное администрирование
Не работает авторизация через домен,Системное администрирование
Не запускается Microsoft Excel,Программное обеспечение
Ошибка при запуске программы 1С,Программное обеспечение
Outlook не отправляет электронные письма,Программное обеспечение
Не открываются PDF файлы на компьютере,Программное обеспечение
Ошибка установки корпоративной программы,Программное обеспечение
Программа зависает во время работы,Программное обеспечение
Не работает Zoom на рабочем ноутбуке,Программное обеспечение
После обновления Windows перестал запускаться Office,Программное обеспечение
Ошибка активации Microsoft Office,Программное обеспечение
Не запускается браузер Google Chrome,Программное обеспечение
Программа выдает ошибку при открытии файла,Программное обеспечение
Не удается установить драйвер устройства,Программное обеспечение
После обновления перестал работать Excel,Программное обеспечение
Не открывается CRM система компании,Программное обеспечение
Ошибка синхронизации OneDrive,Программное обеспечение
Не работает корпоративный мессенджер,Программное обеспечение
Программа аварийно закрывается при запуске,Программное обеспечение
Не удается обновить приложение на ПК,Программное обеспечение
Слетела лицензия программного обеспечения,Программное обеспечение
Не запускается бухгалтерская программа,Программное обеспечение
После установки обновления перестал работать Word,Программное обеспечение
Не удается открыть файл Excel с сервера,Программное обеспечение
Ошибка установки драйвера принтера,Программное обеспечение
Программа зависает при сохранении документа,Программное обеспечение
Не запускается Adobe Acrobat Reader,Программное обеспечение
После обновления перестал работать Zoom,Программное обеспечение
Не открывается программа учета товаров,Программное обеспечение
Ошибка при запуске корпоративного ПО,Программное обеспечение
Не удается установить обновления Windows,Программное обеспечение
Программа вылетает после запуска,Программное обеспечение
Не работает Teams на рабочем компьютере,Программное обеспечение
Ошибка активации Windows,Программное обеспечение
Не запускается браузер Edge,Программное обеспечение
После установки программы появился сбой системы,Программное обеспечение
Не работает VPN клиент на ноутбуке,Программное обеспечение
Ошибка обновления Microsoft Office,Программное обеспечение
Не удается установить антивирусное ПО,Программное обеспечение
После запуска программы появляется белый экран,Программное обеспечение
Приложение перестало отвечать во время работы,Программное обеспечение
Не удается открыть базу 1С,Программное обеспечение
Ошибка подключения к приложению CRM,Программное обеспечение
Не запускается AutoCAD на компьютере,Программное обеспечение
После обновления браузер начал зависать,Программное обеспечение
Программа не видит подключенное устройство,Программное обеспечение
Не работает синхронизация Google Drive,Программное обеспечение
Ошибка запуска ERP системы,Программное обеспечение
Не открывается PowerPoint файл,Программное обеспечение
После установки драйверов пропал звук,Программное обеспечение
Не запускается приложение для видеозвонков,Программное обеспечение
Ошибка при установке корпоративного клиента,Программное обеспечение
Программа постоянно требует повторную авторизацию,Программное обеспечение
Принтер печатает пустые листы,Принтеры и периферия
Не работает сетевой принтер в кабинете,Принтеры и периферия
После заправки картриджа печать стала бледной,Принтеры и периферия
Принтер оставляет полосы на бумаге,Принтеры и периферия
МФУ выдает ошибку картриджа,Принтеры и периферия
Принтер мнет бумагу при печати,Принтеры и периферия
Не работает цветная печать документов,Принтеры и периферия
После замены тонера принтер показывает ошибку,Принтеры и периферия
Картридж слишком быстро заканчивается,Принтеры и периферия
Принтер не захватывает бумагу из лотка,Принтеры и периферия
Не работает сканер документов,Принтеры и периферия
После подключения не определяется веб‑камера,Принтеры и периферия
Не работает микрофон на гарнитуре,Принтеры и периферия
Принтер пачкает бумагу чернилами,Принтеры и периферия
После установки картриджа принтер его не видит,Принтеры и периферия
Не работает второй монитор на рабочем месте,Принтеры и периферия
Не определяется USB устройство,Принтеры и периферия
Не работает Bluetooth мышка,Принтеры и периферия
Не удается подключить сканер к компьютеру,Принтеры и периферия
Во время печати принтер издает сильный шум,Принтеры и периферия
Не работает веб‑камера в Zoom,Принтеры и периферия
После подключения не определяется принтер,Принтеры и периферия
Принтер не печатает PDF документы,Принтеры и периферия
Сканер не сохраняет документы на компьютер,Принтеры и периферия
Не работает гарнитура сотрудника,Принтеры и периферия
Монитор периодически отключается во время работы,Принтеры и периферия
Не работает сетевой сканер документов,Принтеры и периферия
Принтер постоянно показывает замятие бумаги,Принтеры и периферия
Не удается подключить проектор к ноутбуку,Принтеры и периферия
После обновления драйвера перестал работать принтер,Принтеры и периферия
Не определяется флешка на рабочем компьютере,Принтеры и периферия
Принтер не выходит из режима ожидания,Принтеры и периферия
После подключения камеры нет изображения,Принтеры и периферия
Не работает сенсорная панель на ноутбуке,Принтеры и периферия
Сканер выдает ошибку подключения,Принтеры и периферия
Во время печати появляются пятна на бумаге,Принтеры и периферия
Не работает USB гарнитура сотрудника,Принтеры и периферия
Принтер печатает иероглифы вместо текста,Принтеры и периферия
Не удается настроить второй монитор,Принтеры и периферия
После подключения мышка работает с задержкой,Принтеры и периферия
Пришло подозрительное письмо на корпоративную почту,Информационная безопасность
Антивирус обнаружил вредоносное ПО,Информационная безопасность
Подозрение на вирус на рабочем компьютере,Информационная безопасность
Появляются неизвестные окна и реклама,Информационная безопасность
Не работает антивирусная защита,Информационная безопасность
Сотрудник открыл подозрительную ссылку из письма,Информационная безопасность
Компьютер заблокирован вирусом,Информационная безопасность
В системе обнаружена попытка несанкционированного входа,Информационная безопасность
Не удается обновить антивирусные базы,Информационная безопасность
Подозрение на утечку корпоративных данных,Информационная безопасность
Браузер автоматически открывает неизвестные сайты,Информационная безопасность
На компьютере появились неизвестные программы,Информационная безопасность
Система сообщает о небезопасном подключении,Информационная безопасность
Файлы были зашифрованы вирусом,Информационная безопасность
Подозрение на фишинговую атаку через email,Информационная безопасность
Не удается включить защиту Windows Defender,Информационная безопасность
Антивирус постоянно отключается самостоятельно,Информационная безопасность
Пользователь получил подозрительное сообщение в мессенджере,Информационная безопасность
Обнаружена подозрительная активность учетной записи,Информационная безопасность
Сотрудник случайно скачал подозрительный файл из интернета,Информационная безопасность
После открытия вложения компьютер начал тормозить,Информационная безопасность
На рабочем ПК появился вирус‑шифровальщик,Информационная безопасность
Поступают подозрительные письма от неизвестных адресов,Информационная безопасность
Антивирус сообщает об угрозе безопасности,Информационная безопасность
После установки программы появились рекламные окна,Информационная безопасность
Система обнаружила подозрительную активность сети,Информационная безопасность
Не удается удалить вредоносное ПО с компьютера,Информационная безопасность
Браузер перенаправляет на неизвестные сайты,Информационная безопасность
Подозрение на взлом учетной записи сотрудника,Информационная безопасность
На компьютере самопроизвольно запускаются программы,Информационная безопасность
Антивирус блокирует доступ к корпоративному сайту,Информационная безопасность
Появилось уведомление о вирусной угрозе,Информационная безопасность
Сотрудник сообщил о подозрительном вложении в письме,Информационная безопасность
После скачивания файла система начала зависать,Информационная безопасность
Не удается запустить антивирусную проверку,Информационная безопасность
Подозрение на заражение трояном,Информационная безопасность
Система безопасности заблокировала пользователя,Информационная безопасность
Не работает защита от фишинга в браузере,Информационная безопасность
Появились неизвестные учетные записи в системе,Информационная безопасность
Подозрение на утечку паролей сотрудников,Информационная безопасность
```
